Nome		Cognome		Ruolo
Wojciech	Szczesny	Portiere
Samir		Handanovic	Portiere
Alex		Meret		Portiere
Rui		Patricio	Portiere
Mike		Maignan		Portiere
Salvatore	Sirigu		Portiere
Giorgio 	Chiellini	Difensore
Leonardo	Bonucci 	Difensore
Alessandro 	Bastoni 	Difensore
Aleksandar	Kolarov		Difensore
Davide		Calabria	Difensore
Theo		Hernandez	Difensore
Chris		Smalling	Difensore
Riccardo	Calafiori	Difensore
Federico	Bernardeschi	Centrocampista
Federico	Chiesa		Centrocampista
Adrien		Rabiot		Centrocampista
Arturo		Vidal		Centrocampista
Nicolo		Barella		Centrocampista
Ivan		Perisic		Centrocampista
Rade		Krunic		Centrocampista
Franck 		Kessie		Centrocampista
Fabian		Ruiz		Centrocampista
Niccolo		Zaniolo		Centrocampista
Alvaro		Morata		Attaccante
Paulo		Dybala		Attaccante
Moise		Kean		Attaccante
Lautaro		Martinez	Attaccante
Edin		Dzeko		Attaccante
Zlatan		Ibrahimovic	Attaccante
Oliver		Giroud		Attaccante
Rafael		Leao		Attaccante
Lorenzo		Insigne		Attaccante
Hirving		Lozano		Attaccante
Ciro		Immobile	Attaccante
